source_sheet,field_season,kml_stop_id,longitude,latitude
2018-points,2018,AS-6-1-18-11,104.0944611111111,32.66803611111111
2018-points,2018,AS-6-1-18-12,104.0865416666667,32.67105833333333
2018-points,2018,AS-6-1-18-13,104.0863472222222,32.67818055555556
2018-points,2018,AS-6-1-18-14,104.0586666666667,32.69768888888888
2018-points,2018,AS-6-1-18-15,104.04335,32.72808333333334
2018-points,2018,AS-6-1-18-16,104.033125,32.72665555555556
2018-points,2018,AS-6-1-18-17A,104.0071722222222,32.72838888888889
2018-points,2018,AS-6-1-18-17B,104.005625,32.72980555555556
2018-points,2018,AS-6-1-18-18A,104.0056055555556,32.73182777777778
2018-points,2018,AS-6-1-18-18B,104.0040388888889,32.73322777777778
2018-points,2018,AS-6-1-18-19,104.0025861111111,32.74820833333334
2018-points,2018,AS-6-1-18-20,103.9921805555556,32.75739444444444
2018-points,2018,AS-6-1-18-21,103.9787333333333,32.7577
2018-points,2018,AS-6-1-18-22,103.9732777777778,32.75469166666667
2018-points,2018,AS-6-1-18-23A,103.9676638888889,32.75253611111111
2018-points,2018,AS-6-1-18-23B,103.9656555555556,32.75220555555556
2018-points,2018,AS-6-1-18-24A,103.9574833333333,32.75270277777778
2018-points,2018,AS-6-1-18-24B,103.95205,32.75611388888889
2018-points,2018,AS-6-1-18-25A,103.9390166666667,32.76284166666667
2018-points,2018,AS-6-1-18-25B,103.9353388888889,32.76330555555555
2018-points,2018,AS-6-1-18-26,103.9205361111111,32.77120833333333
2018-points,2018,AS-6-1-18-27,103.9204638888889,32.77255
2018-points,2018,AS-6-1-18-28,103.8976138888889,32.77869444444444
2018-points,2018,AS-6-1-18-29A,103.8952138888889,32.77468333333334
2018-points,2018,AS-6-1-18-29B,103.8938527777778,32.77018611111111
2018-points,2018,AS-6-1-18-30,103.8917833333333,32.76546111111111
2018-points,2018,AS-06-2-18-1,103.8520722222222,32.76168888888889
2018-points,2018,AS-06-2-18-2A,103.8463333333333,32.76045
2018-points,2018,AS-06-2-18-2B,103.8461166666667,32.75965
2018-points,2018,AS-06-2-18-3,103.8379722222222,32.75971388888889
2018-points,2018,AS-06-2-18-4,103.8367305555556,32.7595
2018-points,2018,AS-06-2-18-5,103.8215277777778,32.75425555555555
2018-points,2018,AS-06-2-18-6,103.7476722222222,32.74399722222223
2018-points,2018,AS-06-2-18-7A,103.7292416666667,32.74356944444445
2018-points,2018,AS-06-2-18-7B,103.7243916666667,32.74236944444444
2018-points,2018,AS-06-2-18-8A,103.724325,32.74715277777778
2018-points,2018,AS-06-2-18-8B,103.7218083333333,32.74706944444444
2018-points,2018,AS-06-2-18-9A,103.7142277777778,32.74410833333334
2018-points,2018,AS-06-2-18-9B,103.7129972222222,32.7428
2018-points,2018,AS-06-2-18-9C,103.7121027777778,32.74260555555556
2018-points,2018,AS-06-2-18-9D,103.7102138888889,32.74188333333333
2018-points,2018,AS-06-2-18-10,103.7016166666667,32.74013611111111
2018-points,2018,AS-06-2-18-11,103.700725,32.74285833333333
2018-points,2018,AS-06-2-18-12,103.6817055555556,32.75095555555556
2018-points,2018,AS-06-2-18-13,103.6778888888889,32.74279444444444
2018-points,2018,AS-06-2-18-14,103.6719388888889,32.73871111111112
2018-points,2018,AS-06-2-18-15,103.6685888888889,32.73719444444445
2018-points,2018,AS-06-2-18-16,103.6679166666667,32.73582777777778
2018-points,2018,AS-06-2-18-17,103.6655444444444,32.73426666666667
2018-points,2018,AS-06-2-18-18A,103.6661,32.73874722222222
2018-points,2018,AS-06-2-18-18B,103.6618361111111,32.74063888888889
2018-points,2018,AS-06-2-18-19,103.6566416666667,32.74588055555556
2018-points,2018,AS-06-2-18-20,103.6459416666667,32.74673333333333
2018-points,2018,AS-06-2-18-21,103.6505833333334,32.75575833333333
2018-points,2018,AS-06-3-18-1,103.6820083333333,32.80074444444444
